Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Group,B,1,Tue Apr 2 2024,19:00,-03 / UTC-0300,CD Cobresal,1-1,0-0,Barcelona SC,,2024-04-02T22:00:00Z
Group,E,1,Tue Apr 2 2024,19:00,-03 / UTC-0300,Millonarios FC,1-1,0-0,CR Flamengo,,2024-04-02T22:00:00Z
Group,C,1,Tue Apr 2 2024,21:00,-03 / UTC-0300,Club The Strongest,2-0,1-0,Grêmio FBPA,,2024-04-03T00:00:00Z
Group,H,1,Tue Apr 2 2024,21:30,-03 / UTC-0300,Deportivo Táchira FC,0-2,0-0,CA River Plate,,2024-04-03T00:30:00Z
Group,D,1,Tue Apr 2 2024,23:00,-03 / UTC-0300,Club Universitario de Deportes,2-1,0-1,LDU de Quito,,2024-04-03T02:00:00Z
Group,H,1,Wed Apr 3 2024,19:00,-03 / UTC-0300,Club Nacional de Football,2-0,1-0,Club Libertad Asuncion,,2024-04-03T22:00:00Z
Group,C,1,Wed Apr 3 2024,19:00,-03 / UTC-0300,CD Huachipato,1-1,0-1,Estudiantes de La Plata,,2024-04-03T22:00:00Z
Group,D,1,Wed Apr 3 2024,19:00,-03 / UTC-0300,Botafogo FR,1-3,1-3,CDP Junior FC,,2024-04-03T22:00:00Z
Group,A,1,Wed Apr 3 2024,21:00,-03 / UTC-0300,CSD Colo-Colo,1-0,0-0,Club Cerro Porteño,,2024-04-04T00:00:00Z
Group,F,1,Wed Apr 3 2024,21:30,-03 / UTC-0300,CA San Lorenzo de Almagro,1-1,1-0,SE Palmeiras,,2024-04-04T00:30:00Z
Group,A,1,Wed Apr 3 2024,21:30,-03 / UTC-0300,Club Alianza Lima,1-1,1-0,Fluminense FC,,2024-04-04T00:30:00Z
Group,G,1,Thu Apr 4 2024,19:00,-03 / UTC-0300,Caracas FC,1-4,0-3,CA Mineiro,,2024-04-04T22:00:00Z
Group,G,1,Thu Apr 4 2024,19:00,-03 / UTC-0300,CA Rosario Central,1-0,1-0,CA Peñarol,,2024-04-04T22:00:00Z
Group,F,1,Thu Apr 4 2024,21:00,-03 / UTC-0300,Liverpool FC,1-1,0-1,CAR Independiente del Valle,,2024-04-05T00:00:00Z
Group,B,1,Thu Apr 4 2024,21:00,-03 / UTC-0300,CA Talleres,2-1,1-0,São Paulo FC,,2024-04-05T00:00:00Z
Group,E,1,Thu Apr 4 2024,21:00,-03 / UTC-0300,CD Palestino,0-4,0-2,Club Bolívar,,2024-04-05T00:00:00Z
Group,C,2,Tue Apr 9 2024,19:00,-03 / UTC-0300,Estudiantes de La Plata,2-1,0-1,Club The Strongest,,2024-04-09T22:00:00Z
Group,C,2,Tue Apr 9 2024,19:00,-03 / UTC-0300,Grêmio FBPA,0-2,0-2,CD Huachipato,,2024-04-09T22:00:00Z
Group,H,2,Tue Apr 9 2024,21:00,-03 / UTC-0300,Club Libertad Asuncion,3-0,2-0,Deportivo Táchira FC,,2024-04-10T00:00:00Z
Group,A,2,Tue Apr 9 2024,21:00,-03 / UTC-0300,Fluminense FC,2-1,1-1,CSD Colo-Colo,,2024-04-10T00:00:00Z
Group,D,2,Tue Apr 9 2024,23:00,-03 / UTC-0300,CDP Junior FC,1-1,1-1,Club Universitario de Deportes,,2024-04-10T02:00:00Z
Group,F,2,Wed Apr 10 2024,19:00,-03 / UTC-0300,CAR Independiente del Valle,2-0,2-0,CA San Lorenzo de Almagro,,2024-04-10T22:00:00Z
Group,G,2,Wed Apr 10 2024,19:00,-03 / UTC-0300,CA Mineiro,2-1,1-0,CA Rosario Central,,2024-04-10T22:00:00Z
Group,A,2,Wed Apr 10 2024,19:00,-03 / UTC-0300,Club Cerro Porteño,1-0,0-0,Club Alianza Lima,,2024-04-10T22:00:00Z
Group,G,2,Wed Apr 10 2024,21:00,-03 / UTC-0300,CA Peñarol,5-0,4-0,Caracas FC,,2024-04-11T00:00:00Z
Group,B,2,Wed Apr 10 2024,21:30,-03 / UTC-0300,São Paulo FC,2-0,0-0,CD Cobresal,,2024-04-11T00:30:00Z
Group,E,2,Wed Apr 10 2024,21:30,-03 / UTC-0300,CR Flamengo,2-0,1-0,CD Palestino,,2024-04-11T00:30:00Z
Group,B,2,Wed Apr 10 2024,23:00,-03 / UTC-0300,Barcelona SC,2-2,1-1,CA Talleres,,2024-04-11T02:00:00Z
Group,D,2,Thu Apr 11 2024,19:00,-03 / UTC-0300,LDU de Quito,1-0,1-0,Botafogo FR,,2024-04-11T22:00:00Z
Group,E,2,Thu Apr 11 2024,19:00,-03 / UTC-0300,Club Bolívar,3-2,3-1,Millonarios FC,,2024-04-11T22:00:00Z
Group,F,2,Thu Apr 11 2024,21:00,-03 / UTC-0300,SE Palmeiras,3-1,1-1,Liverpool FC,,2024-04-12T00:00:00Z
Group,H,2,Thu Apr 11 2024,21:00,-03 / UTC-0300,CA River Plate,2-0,1-0,Club Nacional de Football,,2024-04-12T00:00:00Z
Group,G,3,Tue Apr 23 2024,19:00,-03 / UTC-0300,Caracas FC,1-1,1-0,CA Rosario Central,,2024-04-23T22:00:00Z
Group,C,3,Tue Apr 23 2024,19:00,-03 / UTC-0300,Estudiantes de La Plata,0-1,0-0,Grêmio FBPA,,2024-04-23T22:00:00Z
Group,F,3,Tue Apr 23 2024,21:00,-03 / UTC-0300,Liverpool FC,1-0,0-0,CA San Lorenzo de Almagro,,2024-04-24T00:00:00Z
Group,G,3,Tue Apr 23 2024,21:00,-03 / UTC-0300,CA Mineiro,3-2,2-0,CA Peñarol,,2024-04-24T00:00:00Z
Group,A,3,Tue Apr 23 2024,21:30,-03 / UTC-0300,CSD Colo-Colo,0-0,0-0,Club Alianza Lima,,2024-04-24T00:30:00Z
Group,D,3,Tue Apr 23 2024,23:00,-03 / UTC-0300,CDP Junior FC,1-1,1-1,LDU de Quito,,2024-04-24T02:00:00Z
Group,H,3,Wed Apr 24 2024,19:00,-03 / UTC-0300,Club Nacional de Football,2-1,2-1,Deportivo Táchira FC,,2024-04-24T22:00:00Z
Group,C,3,Wed Apr 24 2024,19:00,-03 / UTC-0300,CD Huachipato,0-0,0-0,Club The Strongest,,2024-04-24T22:00:00Z
Group,D,3,Wed Apr 24 2024,19:00,-03 / UTC-0300,Botafogo FR,3-1,0-0,Club Universitario de Deportes,,2024-04-24T22:00:00Z
Group,F,3,Wed Apr 24 2024,21:30,-03 / UTC-0300,CAR Independiente del Valle,2-3,2-1,SE Palmeiras,,2024-04-25T00:30:00Z
Group,H,3,Wed Apr 24 2024,21:30,-03 / UTC-0300,Club Libertad Asuncion,1-2,1-1,CA River Plate,,2024-04-25T00:30:00Z
Group,E,3,Wed Apr 24 2024,21:30,-03 / UTC-0300,Club Bolívar,2-1,1-1,CR Flamengo,,2024-04-25T00:30:00Z
Group,A,3,Thu Apr 25 2024,19:00,-03 / UTC-0300,Club Cerro Porteño,0-0,0-0,Fluminense FC,,2024-04-25T22:00:00Z
Group,B,3,Thu Apr 25 2024,19:00,-03 / UTC-0300,CD Cobresal,0-2,0-2,CA Talleres,,2024-04-25T22:00:00Z
Group,E,3,Thu Apr 25 2024,21:00,-03 / UTC-0300,CD Palestino,3-1,2-1,Millonarios FC,,2024-04-26T00:00:00Z
Group,B,3,Thu Apr 25 2024,21:00,-03 / UTC-0300,Barcelona SC,0-2,0-1,São Paulo FC,,2024-04-26T00:00:00Z
Group,G,4,Tue May 7 2024,19:00,-03 / UTC-0300,CA Rosario Central,0-1,0-0,CA Mineiro,,2024-05-07T22:00:00Z
Group,G,4,Tue May 7 2024,19:00,-03 / UTC-0300,Caracas FC,0-1,0-1,CA Peñarol,,2024-05-07T22:00:00Z
Group,E,4,Tue May 7 2024,21:00,-03 / UTC-0300,CD Palestino,1-0,0-0,CR Flamengo,,2024-05-08T00:00:00Z
Group,H,4,Tue May 7 2024,21:00,-03 / UTC-0300,Deportivo Táchira FC,1-1,1-0,Club Libertad Asuncion,,2024-05-08T00:00:00Z
Group,H,4,Tue May 7 2024,21:00,-03 / UTC-0300,Club Nacional de Football,2-2,0-2,CA River Plate,,2024-05-08T00:00:00Z
Group,D,4,Tue May 7 2024,23:00,-03 / UTC-0300,Club Universitario de Deportes,1-1,1-1,CDP Junior FC,,2024-05-08T02:00:00Z
Group,B,4,Wed May 8 2024,19:00,-03 / UTC-0300,CA Talleres,3-1,2-0,Barcelona SC,,2024-05-08T22:00:00Z
Group,A,4,Wed May 8 2024,21:00,-03 / UTC-0300,Club Alianza Lima,1-1,0-1,Club Cerro Porteño,,2024-05-09T00:00:00Z
Group,B,4,Wed May 8 2024,21:30,-03 / UTC-0300,CD Cobresal,1-3,1-1,São Paulo FC,,2024-05-09T00:30:00Z
Group,D,4,Wed May 8 2024,21:30,-03 / UTC-0300,Botafogo FR,2-1,1-1,LDU de Quito,,2024-05-09T00:30:00Z
Group,E,4,Wed May 8 2024,23:00,-03 / UTC-0300,Millonarios FC,1-1,1-0,Club Bolívar,,2024-05-09T02:00:00Z
Group,F,4,Thu May 9 2024,19:00,-03 / UTC-0300,CA San Lorenzo de Almagro,2-0,2-0,CAR Independiente del Valle,,2024-05-09T22:00:00Z
Group,F,4,Thu May 9 2024,19:00,-03 / UTC-0300,Liverpool FC,0-5,0-1,SE Palmeiras,,2024-05-09T22:00:00Z
Group,A,4,Thu May 9 2024,21:00,-03 / UTC-0300,CSD Colo-Colo,0-1,0-0,Fluminense FC,,2024-05-10T00:00:00Z
Group,C,4,Thu May 9 2024,21:00,-03 / UTC-0300,Club The Strongest,1-0,1-0,Estudiantes de La Plata,,2024-05-10T00:00:00Z
Group,G,5,Tue May 14 2024,19:00,-03 / UTC-0300,CA Peñarol,2-0,0-0,CA Mineiro,,2024-05-14T22:00:00Z
Group,B,5,Tue May 14 2024,19:00,-03 / UTC-0300,CA Talleres,1-0,0-0,CD Cobresal,,2024-05-14T22:00:00Z
Group,D,5,Tue May 14 2024,19:00,-03 / UTC-0300,LDU de Quito,0-1,0-1,CDP Junior FC,,2024-05-14T22:00:00Z
Group,H,5,Tue May 14 2024,21:30,-03 / UTC-0300,CA River Plate,2-0,1-0,Club Libertad Asuncion,,2024-05-15T00:30:00Z
Group,E,5,Tue May 14 2024,23:00,-03 / UTC-0300,Millonarios FC,1-1,1-0,CD Palestino,,2024-05-15T02:00:00Z
Group,H,5,Wed May 15 2024,19:00,-03 / UTC-0300,Deportivo Táchira FC,0-1,0-0,Club Nacional de Football,,2024-05-15T22:00:00Z
Group,C,5,Wed May 15 2024,19:00,-03 / UTC-0300,Club The Strongest,4-0,1-0,CD Huachipato,,2024-05-15T22:00:00Z
Group,A,5,Wed May 15 2024,21:00,-03 / UTC-0300,Club Alianza Lima,1-1,1-0,CSD Colo-Colo,,2024-05-16T00:00:00Z
Group,E,5,Wed May 15 2024,21:30,-03 / UTC-0300,CR Flamengo,4-0,3-0,Club Bolívar,,2024-05-16T00:30:00Z
Group,F,5,Wed May 15 2024,21:30,-03 / UTC-0300,SE Palmeiras,2-1,2-0,CAR Independiente del Valle,,2024-05-16T00:30:00Z
Group,G,5,Thu May 16 2024,19:00,-03 / UTC-0300,CA Rosario Central,4-1,2-0,Caracas FC,,2024-05-16T22:00:00Z
Group,A,5,Thu May 16 2024,19:00,-03 / UTC-0300,Fluminense FC,2-1,1-1,Club Cerro Porteño,,2024-05-16T22:00:00Z
Group,D,5,Thu May 16 2024,19:00,-03 / UTC-0300,Club Universitario de Deportes,0-1,0-0,Botafogo FR,,2024-05-16T22:00:00Z
Group,F,5,Thu May 16 2024,21:00,-03 / UTC-0300,CA San Lorenzo de Almagro,3-2,2-1,Liverpool FC,,2024-05-17T00:00:00Z
Group,B,5,Thu May 16 2024,21:00,-03 / UTC-0300,São Paulo FC,0-0,0-0,Barcelona SC,,2024-05-17T00:00:00Z
Group,G,6,Tue May 28 2024,19:00,-03 / UTC-0300,CA Mineiro,4-0,2-0,Caracas FC,,2024-05-28T22:00:00Z
Group,G,6,Tue May 28 2024,19:00,-03 / UTC-0300,CA Peñarol,2-1,1-0,CA Rosario Central,,2024-05-28T22:00:00Z
Group,D,6,Tue May 28 2024,19:00,-03 / UTC-0300,CDP Junior FC,0-0,0-0,Botafogo FR,,2024-05-28T22:00:00Z
Group,D,6,Tue May 28 2024,19:00,-03 / UTC-0300,LDU de Quito,2-0,1-0,Club Universitario de Deportes,,2024-05-28T22:00:00Z
Group,E,6,Tue May 28 2024,21:00,-03 / UTC-0300,Club Bolívar,3-1,1-0,CD Palestino,,2024-05-29T00:00:00Z
Group,E,6,Tue May 28 2024,21:00,-03 / UTC-0300,CR Flamengo,3-0,3-0,Millonarios FC,,2024-05-29T00:00:00Z
Group,C,6,Wed May 29 2024,19:00,-03 / UTC-0300,Estudiantes de La Plata,3-4,1-2,CD Huachipato,,2024-05-29T22:00:00Z
Group,C,6,Wed May 29 2024,19:00,-03 / UTC-0300,Grêmio FBPA,4-0,1-0,Club The Strongest,,2024-05-29T22:00:00Z
Group,A,6,Wed May 29 2024,21:30,-03 / UTC-0300,Fluminense FC,3-2,0-1,Club Alianza Lima,,2024-05-30T00:30:00Z
Group,A,6,Wed May 29 2024,21:30,-03 / UTC-0300,Club Cerro Porteño,1-1,1-1,CSD Colo-Colo,,2024-05-30T00:30:00Z
Group,B,6,Wed May 29 2024,21:30,-03 / UTC-0300,Barcelona SC,2-1,2-0,CD Cobresal,,2024-05-30T00:30:00Z
Group,B,6,Wed May 29 2024,21:30,-03 / UTC-0300,São Paulo FC,2-0,1-0,CA Talleres,,2024-05-30T00:30:00Z
Group,F,6,Thu May 30 2024,19:00,-03 / UTC-0300,CAR Independiente del Valle,2-1,1-1,Liverpool FC,,2024-05-30T22:00:00Z
Group,F,6,Thu May 30 2024,19:00,-03 / UTC-0300,SE Palmeiras,0-0,0-0,CA San Lorenzo de Almagro,,2024-05-30T22:00:00Z
Group,H,6,Thu May 30 2024,21:00,-03 / UTC-0300,CA River Plate,2-0,0-0,Deportivo Táchira FC,,2024-05-31T00:00:00Z
Group,H,6,Thu May 30 2024,21:00,-03 / UTC-0300,Club Libertad Asuncion,2-1,2-1,Club Nacional de Football,,2024-05-31T00:00:00Z
Group,C,4,Tue Jun 4 2024,21:00,-03 / UTC-0300,CD Huachipato,0-1,0-1,Grêmio FBPA,,2024-06-05T00:00:00Z
Group,C,5,Sat Jun 8 2024,19:00,-03 / UTC-0300,Grêmio FBPA,1-1,0-0,Estudiantes de La Plata,,2024-06-08T22:00:00Z
Finals,,Round of 16 | Leg 1,Tue Aug 13 2024,19:00,-03 / UTC-0300,Grêmio FBPA,2-1,0-0,Fluminense FC,,2024-08-13T22:00:00Z
Finals,,Round of 16 | Leg 1,Tue Aug 13 2024,21:30,-03 / UTC-0300,CA San Lorenzo de Almagro,1-1,1-0,CA Mineiro,,2024-08-14T00:30:00Z
Finals,,Round of 16 | Leg 1,Tue Aug 13 2024,21:30,-03 / UTC-0300,CSD Colo-Colo,1-0,0-0,CDP Junior FC,,2024-08-14T00:30:00Z
Finals,,Round of 16 | Leg 1,Wed Aug 14 2024,19:00,-03 / UTC-0300,CA Peñarol,4-0,3-0,Club The Strongest,,2024-08-14T22:00:00Z
Finals,,Round of 16 | Leg 1,Wed Aug 14 2024,21:30,-03 / UTC-0300,CA Talleres,0-1,0-0,CA River Plate,,2024-08-15T00:30:00Z
Finals,,Round of 16 | Leg 1,Wed Aug 14 2024,21:30,-03 / UTC-0300,Botafogo FR,2-1,2-1,SE Palmeiras,,2024-08-15T00:30:00Z
Finals,,Round of 16 | Leg 1,Thu Aug 15 2024,19:00,-03 / UTC-0300,Club Nacional de Football,0-0,0-0,São Paulo FC,,2024-08-15T22:00:00Z
Finals,,Round of 16 | Leg 1,Thu Aug 15 2024,21:30,-03 / UTC-0300,CR Flamengo,2-0,1-0,Club Bolívar,,2024-08-16T00:30:00Z
Finals,,Round of 16 | Leg 2,Tue Aug 20 2024,19:00,-03 / UTC-0300,Fluminense FC,2-1,2-0,Grêmio FBPA,4-2,2024-08-20T22:00:00Z
Finals,,Round of 16 | Leg 2,Tue Aug 20 2024,21:30,-03 / UTC-0300,CA Mineiro,1-0,0-0,CA San Lorenzo de Almagro,,2024-08-21T00:30:00Z
Finals,,Round of 16 | Leg 2,Tue Aug 20 2024,21:30,-03 / UTC-0300,CDP Junior FC,1-2,1-1,CSD Colo-Colo,,2024-08-21T00:30:00Z
Finals,,Round of 16 | Leg 2,Wed Aug 21 2024,19:00,-03 / UTC-0300,Club The Strongest,1-0,1-0,CA Peñarol,,2024-08-21T22:00:00Z
Finals,,Round of 16 | Leg 2,Wed Aug 21 2024,21:30,-03 / UTC-0300,CA River Plate,2-1,1-0,CA Talleres,,2024-08-22T00:30:00Z
Finals,,Round of 16 | Leg 2,Wed Aug 21 2024,21:30,-03 / UTC-0300,SE Palmeiras,2-2,0-0,Botafogo FR,,2024-08-22T00:30:00Z
Finals,,Round of 16 | Leg 2,Thu Aug 22 2024,19:00,-03 / UTC-0300,São Paulo FC,2-0,1-0,Club Nacional de Football,,2024-08-22T22:00:00Z
Finals,,Round of 16 | Leg 2,Thu Aug 22 2024,21:30,-03 / UTC-0300,Club Bolívar,1-0,0-0,CR Flamengo,,2024-08-23T00:30:00Z
